@ShokiKoyama	2016-05-23 18:05:15	懐かしいなwww #EP演習
@nnnk7777	2016-05-23 18:05:17	たわし #EP演習
@layla_0521	2016-05-23 18:05:17	懐かしい #EP演習
@pxjsvt_fms	2016-05-23 18:05:18	懐かしいの連続だった！#EP演習
@Dalnim___fms	2016-05-23 18:05:18	なんのゲームだ？#EP演習
@piyox2_fms	2016-05-23 18:05:19	ぬまぐち！ #EP演習
@knt800_run	2016-05-23 18:05:19	東京フレンドパーク #EP演習
@fms_panda	2016-05-23 18:05:21	わたし #EP演習
@fms_eraser	2016-05-23 18:05:24	沼口いいいいいいいいいいいいいいいい！ #EP演習
@may_Mfms	2016-05-23 18:05:25	なんか切ない笑 #EP演習
@icstomo	2016-05-23 18:05:29	「自分らしいプログラムを作ろうと思いました！」って言って関口宏の東京フレンドパークⅡなのｗｗ #EP演習
@piyox2_fms	2016-05-23 18:05:29	がんばれ～ #EP演習
@yoh_fms	2016-05-23 18:05:30	フレンドパーク。　 #EP演習
@_Shogo_ND	2016-05-23 18:05:31	神様ああああああああああああああ#EP演習
@dau_59	2016-05-23 18:05:32	見てます！#EP演習
@ichi6ra_fms	2016-05-23 18:05:36	なつかしい！！#EP演習
@oooimooo_fms	2016-05-23 18:05:36	曲良き#EP演習
@Sy_At_H	2016-05-23 18:05:37	発表の仕方がもう少しなんかこう……#EP演習
@fms_eraser	2016-05-23 18:05:41	がんば！ #EP演習
@3846masa	2016-05-23 18:05:41	東京フレンドパークが懐かしすぎてやばい #EP演習
@Wovenfate00	2016-05-23 18:05:42	よかった #EP演習
@fms3_hy	2016-05-23 18:05:49	普通ではない#EP演習
@piyox2_fms	2016-05-23 18:05:55	シューティングゲーム #EP演習
@Y1yodIvyoTlFiVN	2016-05-23 18:05:56	かみさまだ！#EP演習
@matatsuna	2016-05-23 18:05:57	シューティングゲーム#EP演習
@Ken3_fms	2016-05-23 18:05:59	シューティングゲーム#EP演習
@pxjsvt_fms	2016-05-23 18:06:01	宮下研ってちゃんと言えるのえらい#EP演習
@fms_eraser	2016-05-23 18:06:01	普通のシューティングゲーム #EP演習
@as28_FMS	2016-05-23 18:06:05	壮大なBGM#EP演習
@frogshiso	2016-05-23 18:06:07	安心と信頼のHELL  #EP演習
